Open,High,Low,Close,Adj Close,Volume
4.364286,4.45,4.345714,4.422143,3.769514,967439200
4.501786,4.516786,4.316429,4.340714,3.700102,938114800
4.374286,4.375357,4.138214,4.266429,3.63678,1529878000
4.235357,4.291786,4.166429,4.276429,3.645304,1256774400
4.201429,4.324643,4.122857,4.255357,3.627343,1504888000
4.2225,4.394643,4.2175,4.391429,3.743333,1475138000
4.542857,4.721429,4.491786,4.639643,3.954914,1618254400
4.6175,4.650357,4.457143,4.465,3.806046,1255480800
4.444286,4.499286,4.214286,4.3475,3.705886,1593043200
4.356786,4.46,4.3,4.450714,3.793868,1785383600
4.413571,4.469286,4.366071,4.446071,3.789911,1221836000
4.450357,4.553571,4.314643,4.318929,3.681532,1473698800
4.300357,4.392143,4.251786,4.366071,3.721716,1230462800
4.356429,4.409286,4.263214,4.274643,3.643782,999588800
4.432143,4.552857,4.357143,4.548214,3.876978,1163943200
4.537143,4.595714,4.470357,4.501071,3.836793,1059629200
4.432143,4.625,4.392857,4.569286,3.89494,1262102800
4.638571,4.653571,4.435714,4.521786,3.854451,1156640800
4.376786,4.5925,4.376786,4.526071,3.858104,1072598800
4.613571,4.75,4.595357,4.743571,4.043504,1205120000
4.754286,4.796071,4.631071,4.631071,3.947608,1010536800
4.682857,4.760357,4.613571,4.759643,4.057205,908787600
4.786071,5.030357,4.772857,4.983214,4.247782,1066920400
4.998571,5.110714,4.904643,5.035,4.291923,1052391200
5.031071,5.205,5.022857,5.180714,4.416134,1182084400
5.176786,5.189643,4.999643,5.008929,4.269701,999829600
5.064286,5.166071,5.057143,5.1075,4.353725,714610400
5.116786,5.203929,5.09,5.125,4.368642,768065200
5.225,5.345,5.128929,5.340357,4.552216,1032567200
5.313571,5.4,5.208929,5.2675,4.490111,1044968400
5.252143,5.486786,5.25,5.414643,4.615539,1051568000
5.435357,5.525357,5.383929,5.467143,4.66029,854417200
5.576071,5.703214,5.539643,5.5675,4.745836,1158326400
5.483929,5.5875,5.44,5.458571,4.652983,1014294400
5.475357,5.496071,5.373571,5.408571,4.610362,873398400
5.3975,5.550714,5.378571,5.519643,4.705042,955763200
5.454286,5.475,5.228571,5.255,4.479456,1210076000
5.241786,5.330357,5.162143,5.277857,4.49894,845087600
5.335714,5.347143,5.204286,5.299286,4.517207,698037200
5.418571,5.503571,5.379286,5.489286,4.679166,795774000
5.506071,5.571429,5.476786,5.5175,4.703216,704267200
5.682857,5.795,5.656429,5.751429,4.902621,1026765600
5.793214,6.017857,5.777143,6.005714,5.119377,1039152800
5.978571,6,5.646071,5.721429,4.877048,1439572400
5.858929,5.887143,5.752857,5.8175,4.958941,1504190800
5.905,6.070714,5.685357,6.033571,5.143124,1696066400
6.096429,6.110714,5.943571,6.061786,5.167175,992474000
6.0625,6.205357,6.040357,6.151429,5.243588,787214400
6.111071,6.273571,6.080357,6.251786,5.329136,923476400
6.2925,6.428571,6.175714,6.2125,5.295648,1139524400
6.248571,6.428571,6.245,6.428571,5.479829,903576800
6.435357,6.497143,6.376786,6.462143,5.508446,1006082000
6.497143,6.618214,6.466071,6.5975,5.623827,854557200
6.595,6.682857,6.506429,6.666429,5.682585,918870400
6.644643,6.721429,6.447857,6.521071,5.558677,1157133600
6.563214,6.660714,6.538214,6.609286,5.633873,899085600
6.541429,6.580357,6.4775,6.551786,5.584859,673072400
6.614643,6.745357,6.530357,6.72,5.728248,818563200
6.736071,6.8375,6.709286,6.784286,5.783045,823236400
6.829643,6.865714,6.6275,6.652143,5.670408,916823600
6.671786,6.782143,6.578571,6.776071,5.776046,873208000
6.789643,6.796429,6.678571,6.700714,5.711809,765769200
6.709286,6.738929,6.475,6.557143,5.589427,945820400
6.493571,6.648571,6.432857,6.639286,5.659446,969850000
6.631071,6.7125,6.294643,6.363929,5.424727,1157657200
6.402143,6.476071,6.142857,6.323214,5.390021,1206735600
6.456071,6.499643,6.35,6.470357,5.515446,906917200
6.526786,6.658214,6.494286,6.658214,5.675581,789905200
6.693214,6.7125,6.561429,6.678929,5.693238,743979600
6.67,6.721429,6.625,6.6675,5.683497,647186400
6.694643,6.769286,6.692143,6.741071,5.746211,610184400
6.735714,6.773214,6.590357,6.646429,5.665536,679840000
6.673571,6.721429,6.512143,6.620357,5.643309,750520400
6.572143,6.681786,6.543929,6.613929,5.63783,726983600
6.655,6.78,6.632143,6.765357,5.766911,755445600
6.714286,6.783929,6.626786,6.63,5.65153,966422800
6.599643,6.605,6.276786,6.486071,5.528843,1888392800
6.446786,6.670714,6.393571,6.63,5.65153,1140941200
6.583571,6.642857,6.413929,6.4575,5.504489,961550800
6.481786,6.521429,6.114286,6.187857,5.274641,1308333600
6.13,6.22,5.903929,6.156071,5.247546,1345957200
6.117857,6.353571,6.038214,6.315714,5.383627,1051730400
6.360714,6.499643,6.336071,6.479643,5.523363,899656800
6.468571,6.507143,6.333929,6.383929,5.441775,811468000
6.376786,6.512143,6.314286,6.460714,5.507227,791949200
6.405357,6.464286,6.25,6.259643,5.335832,888367200
6.240714,6.281429,6.127143,6.184286,5.271596,645780800
6.156071,6.277857,6.129643,6.1875,5.274334,621947200
6.236071,6.386786,6.21,6.335357,5.400372,644450800
6.216786,6.244286,6.000357,6.009286,5.122423,869610000
5.946786,6.091786,5.8625,6.074643,5.178134,1042249600
6.078214,6.142857,5.950714,5.98,5.097458,684196800
5.865357,6.24,5.857143,6.238571,5.31787,1111280800
6.257143,6.3375,6.006429,6.006429,5.119987,837519200
6.056786,6.148929,5.919643,6.075714,5.179047,523362000
6.184286,6.326071,6.139286,6.255714,5.332483,820391600
6.264286,6.417857,6.169286,6.4125,5.46613,888350400
6.435714,6.461071,6.219286,6.223214,5.304779,895776000
6.247143,6.333571,6.120357,6.308214,5.377235,840688800
6.266786,6.325357,6.107143,6.163571,5.25394,930011600
6.401429,6.403571,6.181429,6.21,5.293515,886054400
6.16,6.205,5.9425,6.058571,5.164434,1040043200
6.078571,6.176071,6.021429,6.171786,5.26094,747790400
6.217857,6.249286,6.121071,6.136071,5.230497,757526000
6.018571,6.058929,5.892857,5.898214,5.027743,868414400
5.960714,5.982143,5.754286,5.938929,5.062451,1360469600
5.321429,5.812857,5.233214,5.786429,4.932456,1879592400
5.8925,6.013214,5.77,5.937857,5.061534,1061768400
5.868571,5.902143,5.658929,5.679643,4.841429,839619200
5.728571,5.821429,5.666071,5.79,4.9355,633637200
5.797857,5.8025,5.500714,5.514286,4.700478,780712800
5.550357,5.694643,5.4875,5.61,4.782063,684070800
5.635,5.731786,5.574286,5.71,4.867308,725183200
5.626429,5.792857,5.606429,5.676786,4.838994,637498400
5.710714,5.713929,5.5625,5.595,4.769279,544639200
5.592857,5.639286,5.461071,5.4725,4.664858,592527600
5.550714,5.742857,5.529286,5.737143,4.890443,688371600
5.713214,5.978571,5.642857,5.863929,4.998518,791408800
5.811071,5.933929,5.767857,5.841786,4.979641,672372400
5.852143,6.058929,5.848214,6.055357,5.161694,713997200
6.073929,6.303571,6.059643,6.198571,5.283773,891304400
6.197143,6.403214,6.196786,6.311786,5.38028,836278800
6.356429,6.428571,6.282143,6.403571,5.458519,842346400
6.368929,6.444643,6.351429,6.404286,5.459128,711300800
6.394286,6.419643,6.251786,6.276429,5.35014,708251600
6.270357,6.350357,6.207857,6.263929,5.339487,552014400
6.233571,6.323929,6.136071,6.1975,5.282859,616204400
6.241786,6.319286,6.200357,6.28,5.353184,506951200
6.231071,6.266071,6.138929,6.224643,5.305997,539744800
6.279286,6.339286,6.270357,6.313929,5.382105,439611200
6.291071,6.293929,6.130714,6.1625,5.253025,484425200
6.17,6.245714,6.164643,6.201429,5.286209,445550000
6.189643,6.277143,6.149643,6.238214,5.317566,477780800
6.26,6.294643,6.169643,6.205,5.289254,431384800
6.177143,6.196429,6.037143,6.054643,5.161087,599289600
6.157143,6.196429,5.892857,5.935357,5.059404,780763200
5.958571,6.024286,5.857143,5.962857,5.082846,734834800
5.923571,5.996786,5.743214,5.757857,4.9081,743386000
5.663929,5.8,5.630357,5.720714,4.876438,786884000
5.8775,5.888929,5.409286,5.64,4.807638,1045979200
5.602143,5.712857,5.349643,5.417143,4.617669,1245025600
5.44,5.535357,5.314286,5.414643,4.615539,973142800
5.292143,5.463929,5.214286,5.451786,4.647202,971135200
5.389643,5.389643,5.232143,5.319286,4.534256,793027200
5.0725,5.274643,5.012857,5.012857,4.273048,920634400
4.780714,5.089286,4.719643,4.995714,4.258437,1199836400
4.946071,4.946786,4.565357,4.565357,3.891591,1200455200
4.663214,4.836786,4.31,4.788929,4.08217,1676253600
5.092857,5.15,4.868214,5.0325,4.289792,1430875600
4.997857,5.008929,4.666429,4.680357,3.989619,856713200
4.708929,4.85,4.523571,4.53,3.861453,1280364400
4.545357,4.676786,4.469643,4.596786,3.918384,1047015200
4.635714,4.813929,4.59,4.711786,4.01641,1006045600
4.461071,4.635714,4.392857,4.58,3.904073,1126451200
4.272143,4.274286,3.5925,3.759286,3.204484,2622057200
3.866071,4.107143,3.796429,4.059286,3.460208,1626682400
3.997143,4.012857,3.835357,3.897143,3.321994,1296484000
3.8575,3.885357,3.571429,3.575,3.047394,1609364400
3.714286,3.803571,3.380357,3.466786,2.955149,2294398400
3.284286,3.527857,3.126429,3.505,2.987725,2107417200
3.588571,3.625,3.176786,3.184286,2.714343,1878772000
3.068214,3.440357,3.06,3.206786,2.733522,2207741200
3.333929,3.421429,3.092857,3.169286,2.701556,1617383600
3.060714,3.571429,3.035714,3.457143,2.946931,2219299600
3.733929,3.9475,3.607857,3.937857,3.356699,1539076000
4.152143,4.157143,3.683571,3.717143,3.168559,1980994400
3.708571,3.821429,3.496071,3.498214,2.98194,1584175600
3.563214,3.693929,3.276429,3.638929,3.101888,1980521200
3.557143,3.644286,3.0675,3.478571,2.965196,1762227600
3.563571,3.5725,3.344286,3.515714,2.996857,1549170000
3.4625,3.496429,3.255714,3.2675,2.785276,2193660000
3.4775,3.616071,3.318929,3.459643,2.949062,2248808800
3.446786,3.544643,3.282143,3.508214,2.990465,1675430400
3.226071,3.496429,3.218214,3.442143,2.934144,1590058400
3.395357,3.486786,3.280714,3.288929,2.803542,1208771200
3.408214,3.589286,3.298929,3.568214,3.04161,1634133200
3.602143,3.912143,3.569286,3.733929,3.182868,1950978400
3.865357,4.006786,3.843214,3.965714,3.380446,1638089600
3.835714,3.956429,3.755,3.8425,3.275416,1659756000
3.783214,3.896429,3.745,3.82,3.256237,1057938000
3.928214,3.9925,3.809643,3.963929,3.378923,1398681200
3.889643,3.918571,3.678214,3.689286,3.144814,1256455200
3.608929,3.670714,3.5,3.539286,3.016951,1319074400
3.544286,3.566071,3.418571,3.508571,2.990769,1095253600
3.5775,3.585714,3.375,3.424286,2.918922,1123822000
3.386071,3.470357,3.295,3.384643,2.88513,1224538000
3.301071,3.33,3.214643,3.218571,2.743568,1178976400
3.209643,3.444286,3.072143,3.444286,2.935971,1854087200
3.348571,3.356786,3.214286,3.222857,2.747221,1405266800
3.16,3.233929,3.116429,3.147857,2.68329,1162526400
3.201429,3.249643,3.102143,3.211071,2.737175,1209695200
3.194286,3.270714,3.078929,3.081786,2.62697,1171900800
3.044286,3.0875,2.857143,2.874643,2.450397,1716814400
2.926071,3.004286,2.826429,2.949286,2.514024,1569271200
3.043214,3.385357,3.03,3.319643,2.829723,1442257600
3.379643,3.3825,3.148571,3.242857,2.764269,1235292800
3.211429,3.401786,3.208929,3.392857,2.892132,899836000
3.382143,3.384286,3.280714,3.309643,2.821199,297774400
3.260714,3.295357,3.175714,3.176071,2.70734,923767600
3.215357,3.308929,3.089286,3.3025,2.81511,1148722400
3.192857,3.436786,3.171429,3.425,2.91953,1338680000
3.3725,3.400357,3.180714,3.264643,2.78284,1091370000
3.226786,3.374643,3.173571,3.357143,2.861689,1043795200
3.474286,3.6,3.421429,3.561429,3.035825,1185142000
3.501429,3.7,3.471786,3.573571,3.046176,1203496000
3.495357,3.553214,3.446429,3.5075,2.989855,938047600
3.476786,3.615714,3.386786,3.392857,2.892132,1040617200
3.314286,3.535714,3.304643,3.509643,2.991682,1041174400
3.428214,3.436071,3.321429,3.383929,2.884521,891758000
3.356429,3.445714,3.3125,3.408214,2.905223,1093506400
3.251071,3.253571,3.143571,3.184286,2.714343,1293860400
3.189643,3.243929,3.158571,3.193929,2.722561,857416000
3.212143,3.247857,3.171429,3.214286,2.739915,801920000
3.215,3.215357,3.024643,3.062143,2.610226,844740400
3.1025,3.138214,3.067857,3.085,2.629709,635031600
3.076429,3.080357,3.019643,3.037143,2.588915,271334000
3.094286,3.122143,3.044286,3.064643,2.612357,308324800
3.09,3.129286,3.038214,3.093214,2.63671,686000000
3.122143,3.144643,3.025714,3.081786,2.62697,967601600
3.070357,3.133571,3.047857,3.048214,2.598352,607541200
3.067143,3.251429,3.041429,3.241071,2.762746,746015200
3.3275,3.435,3.311071,3.377857,2.879346,1181608400
3.426786,3.470357,3.299643,3.322143,2.831854,1289310400
3.278929,3.303571,3.223571,3.250357,2.770663,753048800
3.229643,3.326786,3.215714,3.310714,2.822113,673500800
3.328929,3.335,3.219286,3.235,2.757572,546845600
3.230714,3.249643,3.126786,3.166429,2.699121,617716400
3.151429,3.205,3.083929,3.1325,2.670199,798397600
3.08,3.116071,3.025714,3.0475,2.597744,1021664000
2.8775,3.004286,2.858929,2.977857,2.538378,1831634000
3.010714,3.013571,2.871429,2.940357,2.506413,1047625600
2.926071,2.928571,2.792857,2.792857,2.380682,919914800
2.835357,2.96,2.8325,2.958214,2.521634,1089270000
3.144286,3.214286,3.065,3.155714,2.689987,1409528400
3.100714,3.209643,3.089286,3.155714,2.689987,763770000
3.173571,3.248929,3.153571,3.201429,2.728955,692238400
3.221071,3.269643,3.205,3.240357,2.762139,618038400
3.29,3.392857,3.267857,3.364286,2.867777,861406000
3.324643,3.369286,3.307143,3.321429,2.831246,592729200
3.307143,3.343571,3.214643,3.218929,2.743873,651478800
3.182143,3.285714,3.175,3.268214,2.785884,558247200
3.282857,3.335,3.224286,3.320714,2.830636,599309200
3.329286,3.4375,3.325,3.341071,2.847988,808421600
3.313214,3.473214,3.307857,3.445,2.936579,749246400
3.465,3.571429,3.464286,3.561429,3.035825,687209600
3.571429,3.678571,3.553571,3.661071,3.120762,715010800
3.618929,3.661071,3.466429,3.493929,2.978288,849060800
3.441786,3.511071,3.420357,3.457857,2.947539,674973600
3.4225,3.5625,3.4225,3.545357,3.022126,817188400
3.535357,3.569286,3.504286,3.541429,3.018777,608977600
3.459643,3.465714,3.367143,3.376071,2.877823,678238400
3.394643,3.423214,3.311429,3.370357,2.872953,684779200
3.334643,3.366071,3.218214,3.237143,2.759398,922804400
3.192857,3.3,3.178571,3.257143,2.776447,750316000
3.273214,3.285714,3.089643,3.105357,2.647062,786982000
3.123214,3.246071,3.107143,3.223214,2.747526,807105600
3.209286,3.318571,3.1875,3.255714,2.775229,833053200
3.285714,3.318571,3.177143,3.185357,2.715255,629868400
3.140357,3.260714,3.131071,3.189643,2.718909,706658400
3.147143,3.257143,3.131071,3.140714,2.677201,770929600
3.176071,3.240714,3.138571,3.156071,2.690291,724340400
3.220714,3.313214,3.194643,3.256071,2.775533,741403600
3.230714,3.281071,3.158929,3.172857,2.7046,706899200
3.155,3.157143,2.940357,3.046429,2.59683,1011147200
3.006429,3.128571,2.948929,2.968214,2.530159,698297600
3.031071,3.184643,3.012857,3.165357,2.698207,844258800
3.2075,3.359643,3.199286,3.31,2.821503,846372800
3.317857,3.449286,3.285714,3.441071,2.93323,768457200
3.439286,3.471429,3.393214,3.426071,2.920444,601168400
3.4475,3.478214,3.363571,3.407857,2.904918,797244000
3.401429,3.560357,3.395357,3.559286,3.033999,786646000
3.568214,3.695714,3.561429,3.625714,3.090623,796037200
3.6375,3.685714,3.580357,3.629286,3.093668,500180800
3.646071,3.6825,3.591786,3.628214,3.092755,695587200
3.668214,3.862857,3.633929,3.845,3.277547,666397200
3.798571,3.908571,3.763929,3.803571,3.242232,640612000
3.842143,3.87,3.709286,3.803214,3.241928,646618000
3.851071,3.927857,3.842143,3.923929,3.344827,616252000
3.865357,3.876071,3.8,3.816071,3.252887,492872800
3.7325,3.750357,3.664643,3.731786,3.181041,502796000
3.766071,3.8375,3.75,3.754286,3.200221,570080000
3.7175,3.892857,3.710357,3.881786,3.308904,589372000
3.933571,4.098214,3.920714,4.025357,3.431286,812366800
4.078214,4.1475,4.054286,4.1425,3.531142,636241200
4.105,4.241071,4.045714,4.230357,3.606031,658064400
4.161786,4.166786,4.078214,4.107143,3.501002,536580800
4.1225,4.171071,4.092143,4.154286,3.541188,455630000
4.229286,4.285714,4.212857,4.270357,3.640129,530756800
4.286071,4.320714,4.25,4.293571,3.659916,389236400
